Time,Violation,TrackID,Plate,Lat,Lon
2026-04-21 10:25:42,No Helmet,1,outputs/images/violation_1.jpg,30.3398,76.3869
2026-04-21 10:25:42,No Helmet,0,outputs/images/violation_0.jpg,30.3398,76.3869
2026-04-21 10:25:43,No Helmet,11,outputs/images/violation_11.jpg,30.3398,76.3869
2026-04-21 10:25:43,No Helmet,1,outputs/images/violation_1.jpg,30.3398,76.3869
2026-04-21 10:25:43,No Helmet,0,outputs/images/violation_0.jpg,30.3398,76.3869
2026-04-21 10:25:44,No Helmet,1,outputs/images/violation_1.jpg,30.3398,76.3869
2026-04-21 10:25:44,No Helmet,11,outputs/images/violation_11.jpg,30.3398,76.3869
2026-04-21 10:25:44,No Helmet,0,outputs/images/violation_0.jpg,30.3398,76.3869
2026-04-21 10:25:45,No Helmet,1,outputs/images/violation_1.jpg,30.3398,76.3869
2026-04-21 10:25:45,No Helmet,11,outputs/images/violation_11.jpg,30.3398,76.3869
2026-04-21 10:25:46,No Helmet,1,outputs/images/violation_1.jpg,30.3398,76.3869
2026-04-21 10:25:46,No Helmet,11,outputs/images/violation_11.jpg,30.3398,76.3869
2026-04-21 10:25:47,No Helmet,1,outputs/images/violation_1.jpg,30.3398,76.3869
2026-04-21 10:25:47,No Helmet,11,outputs/images/violation_11.jpg,30.3398,76.3869
2026-04-21 10:25:48,No Helmet,1,outputs/images/violation_1.jpg,30.3398,76.3869
2026-04-21 10:25:49,No Helmet,11,outputs/images/violation_11.jpg,30.3398,76.3869
2026-04-21 10:25:49,No Helmet,1,outputs/images/violation_1.jpg,30.3398,76.3869
2026-04-21 10:25:50,No Helmet,11,outputs/images/violation_11.jpg,30.3398,76.3869
2026-04-21 10:25:50,No Helmet,1,outputs/images/violation_1.jpg,30.3398,76.3869
2026-04-21 10:25:51,No Helmet,11,outputs/images/violation_11.jpg,30.3398,76.3869
2026-04-21 10:25:51,No Helmet,1,outputs/images/violation_1.jpg,30.3398,76.3869
2026-04-21 10:25:52,No Helmet,11,outputs/images/violation_11.jpg,30.3398,76.3869
2026-04-21 10:25:52,No Helmet,1,outputs/images/violation_1.jpg,30.3398,76.3869
